id,text
1,Switched to ceramides and never going back. [sparkles]
2,Is skin flooding worth the hype? Asking for a friend.
3,Everyone on TikTok is doing slugging now. [heart eyes]
4,This anti-pollution skincare routine changed my life.
5,Just tried skinimalism and my skin feels amazing!
6,Heard bakuchiol in serum is the new holy grail. [sparkles]
7,My skin is glowing today! [100]
8,Why is no one talking about polyglutamic acid?
9,Is skin flooding worth the hype? Asking for a friend.
10,Switched to skin flooding and never going back.
11,Why is no one talking about polyglutamic acid?
12,Switched to anti-pollution skincare and never going back.
13,This moisturizer smells great.
14,Loving how polyglutamic acid fixed my hydration issue.
15,Is skinimalism worth the hype? Asking for a friend.
16,Loving how anti-pollution skincare fixed my pollution issue.
17,Everyone on TikTok is doing skin flooding now.
18,Best sunscreen ever!
19,Hydrating mask on point. [sparkles]
20,SPF 50 is a must in summer.
21,Finally found a serum with niacinamide that works!
22,Switched to microbiome-friendly and never going back. [heart eyes]
23,Finally found a multi-step with  that works!
24,Loving how anti-pollution skincare fixed my pollution issue.
25,Is ceramides worth the hype? Asking for a friend. [sparkles]
26,Hydrating mask on point.
27,My dermatologist recommended glass skin for dullness.
28,Best sunscreen ever!
29,Switched to skin flooding and never going back.
30,Finally found a product with  that works!
31,Need a good eye cream.
32,Finally found a non-comedogenic foundation.
33,Need a good eye cream.
34,Loving how anti-pollution skincare fixed my pollution issue.
35,Just tried skin flooding and my skin feels amazing!
36,Heard  in occlusive is the new holy grail.
37,Need a good eye cream. [sparkles]
38,This moisturizer smells great. [100]
39,Finally found a non-comedogenic foundation.
40,This niacinamide routine changed my life. [heart eyes]
41,Hydrating mask on point.
42,Retinol burns my skin.
43,My dermatologist recommended polyglutamic acid for hydration.
44,Everyone on TikTok is doing anti-pollution skincare now.
45,Why is no one talking about anti-pollution skincare?
46,Everyone on TikTok is doing ceramides now.
47,This moisturizer smells great.
48,Everyone on TikTok is doing niacinamide now.
49,Why is no one talking about glass skin?
50,Hydrating mask on point.
51,Finally found a serum with polyglutamic acid that works!
52,Best sunscreen ever!
53,This moisturizer smells great. [fire]
54,This moisturizer smells great. [sparkles]
55,Finally found a cleanser with probiotics that works! [100]
56,My dermatologist recommended slugging for dryness.
57,This moisturizer smells great. [heart eyes]
58,This moisturizer smells great.
59,Cleansing balm removed all my makeup.
60,Just tried bakuchiol and my skin feels amazing!
61,Need a good eye cream.
62,Need a good eye cream.
63,Finally found a non-comedogenic foundation.
64,Switched to anti-pollution skincare and never going back.
65,Just tried skin flooding and my skin feels amazing!
66,My dermatologist recommended glass skin for dullness.
67,Cleansing balm removed all my makeup. [heart eyes]
68,Is microbiome-friendly worth the hype? Asking for a friend.
69,Finally found a mist with antioxidants that works! [heart eyes]
70,Just tried glass skin and my skin feels amazing!
71,Why is no one talking about glass skin?
72,Retinol burns my skin.
73,Finally found a product with  that works! [fire]
74,Just tried slugging and my skin feels amazing!
75,This moisturizer smells great. [sparkles]
76,Heard probiotics in cleanser is the new holy grail.
77,My skin is glowing today! [100]
78,Need a good eye cream.
79,Finally found a non-comedogenic foundation. [heart eyes]
80,Loving how slugging fixed my dryness issue.
81,Switched to microbiome-friendly and never going back. [sparkles]
82,Switched to anti-pollution skincare and never going back.
83,Is ceramides worth the hype? Asking for a friend.
84,Best sunscreen ever! [sparkles]
85,Loving how skinimalism fixed my routine overload issue.
86,This bakuchiol routine changed my life.
87,Cleansing balm removed all my makeup.
88,SPF 50 is a must in summer.
89,Switched to ceramides and never going back.
90,Best sunscreen ever!
91,Is anti-pollution skincare worth the hype? Asking for a friend.
92,Why is no one talking about bakuchiol?
93,Retinol burns my skin.
94,Cleansing balm removed all my makeup.
95,Finally found a serum with polyglutamic acid that works!
